workerid,object,slide_number_in_experiment,utterance,rt,response,Answer.time_in_minutes
12,table_wood_blue,25,table,4157,"[0.25, 0.51]",10.859366666666666
12,spoon_plastic_blue,26,spoon,4270,"[0.17, 0.9]",10.859366666666666
12,plate_plastic_pink,27,plate,3906,"[0.25, 0.7]",10.859366666666666
12,chair_plastic_original,28,chair,7182,"[0.21, 0.09]",10.859366666666666
12,box_wood_blue,29,box,6599,"[0.39, 0.71]",10.859366666666666
13,Sarah,1,bot_check,0,Sarah,2.6250833333333334
13,bowl_metal_original,3,bowl,8350,"[0.83, 0.75]",2.6250833333333334
13,bottle_plastic_green,4,bottle,5184,"[0.85, 0.53]",2.6250833333333334
13,chair_wood_green,5,chair,4592,"[0.81, 0.25]",2.6250833333333334
13,chair_plastic_original,6,chair,2669,"[0.88, 0.87]",2.6250833333333334
13,jacket_denim_green,7,jacket,3068,"[0.77, 0.54]",2.6250833333333334
13,bag_paper_original,8,bag,3610,"[0.94, 0.97]",2.6250833333333334
13,jacket_leather_purple,9,jacket,4860,"[0.73, 0.31]",2.6250833333333334
13,bottle_glass_original,10,bottle,7105,"[0.67, 0.91]",2.6250833333333334
13,bowl_glass_blue,11,bowl,5247,"[0.73, 0.41]",2.6250833333333334
13,spoon_metal_green,12,spoon,5010,"[0.74, 0]",2.6250833333333334
13,boot_leather_green,13,boot,3870,"[0.76, 0.01]",2.6250833333333334
13,chair_metal_purple,14,chair,4296,"[0.58, 0.19]",2.6250833333333334
13,table_wood_blue,15,table,3617,"[0.83, 0]",2.6250833333333334
13,bag_plastic_green,16,bag,3080,"[0.85, 0.65]",2.6250833333333334
13,plate_paper_blue,17,plate,6496,"[0.91, 0.02]",2.6250833333333334
13,cup_plastic_blue,18,cup,2854,"[0.87, 0.9]",2.6250833333333334
13,plate_plastic_pink,19,plate,2808,"[0.88, 0.04]",2.6250833333333334
13,pitcher_glass_blue,20,pitcher,2529,"[0.78, 0.36]",2.6250833333333334
13,pitcher_metal_original,21,pitcher,2735,"[0.78, 0.75]",2.6250833333333334
13,spoon_plastic_blue,22,spoon,3068,"[0.79, 0.21]",2.6250833333333334
13,spoon_wood_original,23,spoon,3670,"[1, 0.99]",2.6250833333333334
13,pitcher_plastic_green,24,pitcher,2973,"[0.79, 0.43]",2.6250833333333334
13,box_wood_blue,25,box,2681,"[0.84, 0.32]",2.6250833333333334
13,box_cardboard_green,26,box,3840,"[0.82, 0.14]",2.6250833333333334
13,cup_metal_original,27,cup,2975,"[0.83, 0.88]",2.6250833333333334
13,table_metal_green,28,table,2903,"[0.88, 0.02]",2.6250833333333334
13,boot_rubber_original,29,boot,3160,"[0.98, 0.98]",2.6250833333333334
14,Sarah,1,bot_check,0,Sarah,4.199216666666667
14,spoon_metal_green,3,spoon,14003,"[0.58, 0.29]",4.199216666666667
14,plate_paper_blue,4,plate,8220,"[0.62, 0.72]",4.199216666666667
14,cup_plastic_blue,5,cup,5211,"[0.92, 0.66]",4.199216666666667
14,jacket_leather_purple,6,jacket,5139,"[0.84, 0.29]",4.199216666666667
14,box_wood_blue,7,box,14363,"[0.79, 0.24]",4.199216666666667
14,chair_wood_green,8,chair,15360,"[0.62, 0.37]",4.199216666666667
14,pitcher_plastic_green,9,pitcher,3462,"[0.69, 0.6]",4.199216666666667
14,bottle_glass_original,10,bottle,4953,"[0.89, 0.88]",4.199216666666667
14,chair_metal_purple,11,chair,9989,"[0.24, 0.25]",4.199216666666667
14,bag_plastic_green,12,bag,8762,"[0.75, 0.2]",4.199216666666667
14,pitcher_glass_blue,13,pitcher,5032,"[0.68, 0.57]",4.199216666666667
14,chair_plastic_original,14,chair,7213,"[0.76, 0.66]",4.199216666666667
14,bowl_glass_blue,15,bowl,3189,"[0.69, 0.64]",4.199216666666667
14,cup_metal_original,16,cup,15160,"[0.33, 0.51]",4.199216666666667
14,spoon_wood_original,17,spoon,4825,"[0.9, 0.91]",4.199216666666667
14,pitcher_metal_original,18,pitcher,6264,"[0.25, 0.25]",4.199216666666667
14,bottle_plastic_green,19,bottle,5328,"[0.78, 0.83]",4.199216666666667
14,plate_plastic_pink,20,plate,19809,"[0.69, 0.72]",4.199216666666667
14,table_metal_green,21,table,7472,"[0.79, 0.22]",4.199216666666667
14,bag_paper_original,22,bag,4013,"[0.89, 0.91]",4.199216666666667
14,table_wood_blue,23,table,4803,"[0.65, 0.28]",4.199216666666667
14,jacket_denim_green,24,jacket,11191,"[0.79, 0.25]",4.199216666666667
14,box_cardboard_green,25,box,5692,"[0.76, 0.34]",4.199216666666667
14,bowl_metal_original,26,bowl,4175,"[0.76, 0.87]",4.199216666666667
14,spoon_plastic_blue,27,spoon,3768,"[0.7, 0.34]",4.199216666666667
14,boot_leather_green,28,boot,5273,"[0.76, 0.25]",4.199216666666667
14,boot_rubber_original,29,boot,23577,"[0.8, 0.92]",4.199216666666667
